NCES School ID,State School ID,NCES District ID,State District ID,Low_grade,High_grade,School_name,Agency_name,County_name,Street,City,State,Zip_code,Zip_code4,Phone,LocaleCode,LocaleShortDesc,Charter,Magnet,Title1School,Title1SchoolWide,Students,Teachers,StudentTeach_Ratio,Male,Female,Native_America,Asian,Black,Hispanic,White,Free_Lunch,Reduced_Lunch,MigrantStudents
170993005683,150162990215C,1709930,15-016-2990-25,05,08,KIPP ASCEND ELEM CHARTER SCHOOL,CITY OF CHICAGO SD 299,COOK COUNTY,715 S KILDARE AVE,CHICAGO,IL,60624,3564,7735331770,11,City: Large,Yes,No,Yes,Yes,319,19,16.8,164,155,0,0,314,4,1,,,
480025710422,015826041,4800257,015826,05,08,KIPP ASPIRE ACADEMY,KIPP ASPIRE ACADEMY,BEXAR COUNTY,1401 W AVE NO 3,SAN ANTONIO,TX,78201,,2107357300,11,City: Large,Yes,,Yes,Yes,408,24.84,16.4,209,199,0,0,11,383,14,186,33,
480026412305,227820042,4800264,227820,05,05,KIPP AUSTIN ACADEMY OF ARTS & LETTERS,KIPP AUSTIN PUBLIC SCHOOLS INC,TRAVIS COUNTY,8509 FM 969 BLDG A,AUSTIN,TX,78724,,5125013640,11,City: Large,Yes,,Yes,Yes,97,7,13.9,49,48,0,0,10,86,1,75,11,
480026411055,227820041,4800264,227820,05,08,KIPP AUSTIN COLLEGE PREP,KIPP AUSTIN PUBLIC SCHOOLS INC,TRAVIS COUNTY,8509 FM 969 BLDG C,AUSTIN,TX,78724,,5126376870,11,City: Large,Yes,,Yes,Yes,361,23.86,15.1,174,187,0,0,13,346,2,290,44,
480026411782,227820001,4800264,227820,09,10,KIPP AUSTIN COLLEGIATE,KIPP AUSTIN PUBLIC SCHOOLS INC,TRAVIS COUNTY,8509 FM 969 BLDG C,AUSTIN,TX,78724,,5126376870,11,City: Large,Yes,,Yes,Yes,179,16.26,11,80,99,0,0,10,165,4,151,17,
063441011256,0101337,0634410,3868478,05,08,KIPP BAYVIEW ACADEMY,SAN FRANCISCO UNIFIED,SAN FRANCISCO COUNTY,1060 KEY AVE.,SAN FRANCISCO,CA,94124,3563,4154672522,11,City: Large,Yes,,Yes,Yes,233,21.25,11,102,109,2,13,159,35,2,142,33,
062805011935,0115014,0628050,0161259,05,08,KIPP BRIDGE CHARTER,OAKLAND UNIFIED,ALAMEDA COUNTY,991 14TH ST.,OAKLAND,CA,94607,3230,5108792421,11,City: Large,Yes,,Yes,Yes,304,10,30.4,138,154,0,11,223,3,55,158,45,
220004502079,398004,2200045,398,KG,01,KIPP CENTRAL CITY PRIMARY,RSD-KNOWLEDGE IS POWER PROGRAM (KIPP) N.O.,ORLEANS PARISH,P.O. BOX 13567,NEW ORLEANS,LA,70185,2843,5043736290,11,City: Large,Yes,No,Yes,Yes,195,13,15,104,91,1,0,194,0,0,171,6,
482028012362,084902114,4820280,084902,PK,01,KIPP COASTAL VILLAGE,GALVESTON ISD,GALVESTON COUNTY,P O BOX 660,GALVESTON,TX,77550,,4097665121,13,City: Small,Yes,,Yes,Yes,317,,,173,144,2,12,131,93,79,238,30,
110003100381,116,1100031,129,05,08,KIPP DC AIM PCS,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,421 ALABAMA AV SE,WASHINGTON,DC,20032,,2023730505,11,City: Large,Yes,No,Yes,Yes,330,24,13.8,138,192,0,0,330,0,0,258,37,
110003100421,1125,1100031,129,09,09,KIPP DC COLLEGE PREPARATORY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,2600 DOUGLAS ROAD SE,WASHINGTON,DC,20020,,2025534805,11,City: Large,Yes,No,Yes,Yes,117,9,13,56,61,0,0,117,0,0,84,16,
110003100427,1124,1100031,129,PK,PK,KIPP DC DISCOVER ACADEMY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,2600 DOUGLAS ROAD SE,WASHINGTON,DC,20020,,2022808915,11,City: Large,Yes,No,Yes,Yes,100,10,10,52,48,0,0,100,0,0,75,19,
110003100246,189,1100031,129,05,08,KIPP DC KEY ACADEMY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,4801 BENNING ROAD SE,WASHINGTON,DC,20019,,2025436595,11,City: Large,Yes,No,Yes,Yes,328,22,14.9,164,164,0,0,326,0,2,183,21,
110003100375,132,1100031,129,PK,KG,KIPP DC LEAP ACADEMY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,1720 MINNESOTA AVE. SE,WASHINGTON,DC,20020,,2025436596,11,City: Large,Yes,No,Yes,Yes,281,25,11.2,155,126,0,0,279,0,2,203,35,
110003100419,1123,1100031,129,01,01,KIPP DC PROMISE ACADEMY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,4801 BENNING ROAD SE,WASHINGTON,DC,20019,,2025821390,11,City: Large,Yes,No,Yes,Yes,111,10,11.1,50,61,0,0,111,0,0,74,18,
110003100376,121,1100031,129,05,08,KIPP DC WILL ACADEMY,KIPP ACADEMY PCS,DISTRICT OF COLUMBIA,421 P STREET NW,WASHINGTON,DC,20001,,2023289455,11,City: Large,Yes,No,Yes,Yes,319,23,13.9,148,171,0,0,317,2,0,225,35,
050006201513,5440701,0500062,5440700,KG,01,KIPP DELTA ELEM LITERACY ACADEMY,KIPP:DELTA COLLEGE PREP SCHOOL,PHILLIPS COUNTY,210 CHERRY ST,HELENA,AR,72342,,8707539800,33,Town: Remote,Yes,No,Yes,No,100,7.1,14.1,47,52,0,0,96,1,2,91,4,
080336006448,4730,0803360,0880,09,09,KIPP DENVER COLLEGIATE HIGH SCHOOL,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,DENVER COUNTY,451 SOUTH TEJON STREET,DENVER,CO,80223,,3036235772,11,City: Large,Yes,No,No,,129,9.25,13.9,60,69,1,0,1,116,11,100,16,
480005412057,101813109,4800054,101813,KG,05,KIPP EAST END,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,215,11.66,18.4,104,111,0,1,6,208,0,148,38,
480005411387,101813107,4800054,101813,PK,05,KIPP GULFTON LOWER SCHOOL,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,559,27.51,20.3,276,283,0,12,90,450,7,490,48,
240009001681,300347,2400090,30,KG,KG,KIPP HARMONY,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE CITY,2810 SHIRLEY AVE.,BALTIMORE,MD,21215,,4103960000,11,City: Large,Yes,No,Yes,No,125,7.4,16.9,71,54,0,0,125,0,0,90,18,
060231011444,0106633,0602310,4369369,05,08,KIPP HEARTWOOD ACADEMY,ALUM ROCK UNION ELEMENTARY,SANTA CLARA COUNTY,1250 SOUTH KING RD.,SAN JOSE,CA,95122,2146,4089265477,11,City: Large,Yes,,Yes,Yes,369,10,36.9,203,165,0,62,11,290,5,238,71,
480005412145,101813003,4800054,101813,09,12,KIPP HOUSTON HIGH SCHOOL,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,496,34.77,14.3,224,272,1,9,81,399,6,386,54,
180002802136,5860,1800028,9400,05,08,KIPP INDPLS COLLEGE PREPARATORY,KIPP INDPLS COLLEGE PREPARATORY,MARION COUNTY,1740 E 30TH ST,INDIANAPOLIS,IN,46218,,3176379780,11,City: Large,Yes,No,Yes,Yes,207,10,20.7,94,105,0,0,195,0,4,114,8,
360014305781,310500860883,3600143,310500860883,05,09,KIPP INFINITY CHARTER SCHOOL,KIPP INFINITY CHARTER SCHOOL,NEW YORK COUNTY,625 W 133 ST-RM 308D,NEW YORK,NY,10027,,2129912600,11,City: Large,Yes,No,Yes,Yes,338,23.49,14.4,157,181,0,4,93,240,1,241,46,
290059103122,6970115914,2900591,115914,05,05,KIPP INSPIRE ACADEMY,KIPP ST LOUIS,ST. LOUIS CITY,2647 OHIO AVENUE,SAINT LOUIS,MO,63118,,3148652624,11,City: Large,Yes,No,No,,83,5,16.6,43,40,0,0,83,0,0,72,0,
480005412444,101813044,4800054,101813,06,06,KIPP INTREPID PREPARATORY SCHOOL,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,2818793100,11,City: Large,Yes,,Yes,Yes,95,5.34,17.8,35,60,0,0,8,85,2,82,7,
063471011893,0114421,0634710,0161309,09,12,KIPP KING COLLEGIATE HIGH,SAN LORENZO UNIFIED,ALAMEDA COUNTY,2005 VIA BARRETT,SAN LORENZO,CA,94580,1315,5108289509,21,Suburb: Large,Yes,,Yes,Yes,294,15.7,18.7,134,156,1,100,57,116,16,120,81,
180005502246,4097,1800055,9635,05,08,KIPP LEAD MIDDLE SCHOOL,KIPP LEAD COLLEGE PREP CHARTER,LAKE COUNTY,6060 MILLER AVE,GARY,IN,46403,,2199799236,13,City: Small,Yes,No,Yes,Yes,310,17,18.2,150,153,0,0,300,2,1,233,30,
480027611548,101860003,4800276,101860,06,08,KIPP LIBERATION COLLEGE PREP,KIPP SOUTHEAST HOUSTON,HARRIS COUNTY,3150 YELLOWSTONE BLVD,HOUSTON,TX,77054,,7138421695,11,City: Large,Yes,,Yes,Yes,252,15.74,16,131,121,0,0,235,15,2,147,34,
062271011324,0100867,0622710,1964733,05,08,KIPP LOS ANGELES COLLEGE PREPARATORY,LOS ANGELES UNIFIED,LOS ANGELES COUNTY,2814 WHITTIER BLVD,LOS ANGELES,CA,90023,1527,3232235477,11,City: Large,Yes,,Yes,Yes,370,18.4,20.1,162,206,0,15,2,351,0,274,75,
270030804244,074191010,2700308,074191,KG,12,KIPP MINNESOTA CHARTER SCHOOL,KIPP MINNESOTA CHARTER SCHOOL,HENNEPIN COUNTY,1601 LAUREL AVENUE,MINNEAPOLIS,MN,55403,8888,6122879700,11,City: Large,Yes,No,Yes,Yes,156,8.6,18.1,77,79,3,0,151,0,2,123,15,
480005411408,101813106,4800054,101813,PK,05,KIPP NE LOWER SCHOOL DREAM,KIPP INC CHARTER,HARRIS COUNTY,4610 CROSSTIMBERS,HOUSTON,TX,77016,,7136366082,11,City: Large,Yes,,Yes,Yes,554,32.67,17,281,273,0,3,155,391,5,468,59,
480005412400,101813110,4800054,101813,05,05,KIPP NORTH FOREST LOWER GIRLS SCHOOL,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8329710128,11,City: Large,Yes,,Yes,Yes,87,6,14.5,0,87,0,0,68,18,1,61,12,
480005411494,101813108,4800054,101813,05,05,KIPP NORTH FOREST LOWER SCHOOL,KIPP INC CHARTER,HARRIS COUNTY,9634 MESA RD,HOUSTON,TX,77078,,8323281051,11,City: Large,Yes,,Yes,Yes,91,4.82,18.9,91,0,0,0,83,8,0,67,17,
480005412173,101813043,4800054,101813,06,07,KIPP POLARIS ACADEMY FOR BOYS,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,7136334646,11,City: Large,Yes,,Yes,Yes,161,9.18,17.5,161,0,0,0,143,16,2,115,25,
062271012292,0117903,0622710,1964733,KG,04,KIPP RAICES ACADEMY,LOS ANGELES UNIFIED,LOS ANGELES COUNTY,4545 DOZIER ST.,LOS ANGELES,CA,90022,1118,3237803900,21,Suburb: Large,Yes,,Yes,Yes,203,13.97,14.5,112,89,0,0,3,198,0,134,48,
402277002408,55-I089-982,4022770,55-I089,05,08,KIPP REACH COLLEGE PREPARATORY,OKLAHOMA CITY,OKLAHOMA COUNTY,PO BOX 776,OKLAHOMA CITY,OK,73101,0776,4054254622,11,City: Large,Yes,,Yes,Yes,251,13.9,18.1,134,117,7,4,203,13,24,177,17,
063441011255,0101352,0634410,3868478,05,08,KIPP SAN FRANCISCO BAY ACADEMY,SAN FRANCISCO UNIFIED,SAN FRANCISCO COUNTY,1430 SCOTT ST.,SAN FRANCISCO,CA,94115,3510,4154404306,11,City: Large,Yes,,Yes,Yes,348,22.5,15.5,170,174,3,31,101,194,15,192,54,
061182012236,0116889,0611820,4369427,09,12,KIPP SAN JOSE COLLEGIATE,EAST SIDE UNION HIGH,SANTA CLARA COUNTY,1790 EDUCATIONAL PARK DR.,SAN JOSE,CA,95133,,4089373752,11,City: Large,Yes,,Yes,Yes,161,8,20.1,69,90,1,33,1,122,2,84,26,
480005412152,101813042,4800054,101813,06,07,KIPP SHARPSTOWN COLLEGE PREPARATORY,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,177,13.27,13.3,85,92,0,3,42,128,4,143,20,
130228002885,0204,1302280,660,05,08,KIPP SOUTH FULTON ACADEMY SCHOOL,FULTON COUNTY,FULTON COUNTY,1286 WASHINGTON AVE,ATLANTA,GA,30344,,6782780160,21,Suburb: Large,Yes,No,Yes,Yes,311,11,28.3,143,162,0,1,289,15,0,183,34,
480027611457,101860004,4800276,101860,06,08,KIPP SPIRIT COLLEGE PREP,KIPP SOUTHEAST HOUSTON,HARRIS COUNTY,3730 S ACRES DR,HOUSTON,TX,77047,,7137311235,11,City: Large,Yes,,Yes,Yes,262,17.38,15.1,107,155,0,1,204,55,2,211,16,
130012003823,0115,1300120,761,05,05,KIPP STRIVE ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,1444 LUCILE AVE SW,ATLANTA,GA,30310,,4047531530,11,City: Large,No,No,Yes,No,94,5,18.8,51,43,0,0,91,3,0,59,9,
360008205526,310500860858,3600082,310500860858,05,09,KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL,KIPP SUCCESS THROUGH TEAMWORK ACHIEVE & RESPON COL PREP CHAR,NEW YORK COUNTY,433 W 123RD ST-4TH FL,NEW YORK,NY,10027,,2129912650,11,City: Large,Yes,No,Yes,Yes,299,24.19,12.4,158,141,0,3,211,85,0,175,44,
063471011159,0101212,0634710,0161309,05,08,KIPP SUMMIT ACADEMY,SAN LORENZO UNIFIED,ALAMEDA COUNTY,2005 VIA BARRETT,SAN LORENZO,CA,94580,1315,5102580106,21,Suburb: Large,Yes,,Yes,Yes,389,20.5,19,29,32,0,1,2,58,0,151,87,
480027611247,101860002,4800276,101860,KG,05,KIPP SUNNYSIDE SCHOOL,KIPP SOUTHEAST HOUSTON,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,7137311235,11,City: Large,Yes,,Yes,Yes,210,12.62,16.6,107,103,0,0,183,27,0,140,33,
080336001865,4732,0803360,0880,05,08,KIPP SUNSHINE PEAK ACADEMY,SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C,DENVER COUNTY,375 S TEJON STREET,DENVER,CO,80223,,3036235772,11,City: Large,Yes,No,Yes,Yes,371,30.43,12.2,185,186,2,6,3,356,4,295,44,
480005411451,101813105,4800054,101813,PK,05,KIPP SW LOWER SCHOOL SHINE,KIPP INC CHARTER,HARRIS COUNTY,10711 KIPP WAY,HOUSTON,TX,77099,,8323281051,11,City: Large,Yes,,Yes,Yes,894,52.65,17,446,448,0,18,211,660,5,748,106,
360012805750,010100860867,3600128,010100860867,05,08,KIPP TECH VALLEY CHARTER SCHOOL,KIPP TECH VALLEY CHARTER SCHOOL,ALBANY COUNTY,1 DUDLEY HEIGHTS,ALBANY,NY,12210,,5186949494,13,City: Small,Yes,No,Yes,No,303,21,14.4,151,151,1,3,275,19,4,161,39,
480026010552,057837041,4800260,057837,05,08,KIPP TRUTH ACADEMY,KIPP TRUTH ACADEMY,DALLAS COUNTY,3200 S LANCASTER RD STE 230A,DALLAS,TX,75216,,2143758326,11,City: Large,Yes,,Yes,Yes,264,11.39,23.2,133,131,0,0,150,113,1,132,20,
403024002390,72-I001-543,4030240,72-I001,05,08,KIPP TULSA ACAD. COLLEGE PREP.,TULSA,TULSA COUNTY,1661 E VIRGIN ST,TULSA,OK,74106,5552,9189251580,11,City: Large,No,,Yes,Yes,315,18,17.5,131,184,17,0,293,3,2,235,48,
240009001297,300324,2400090,30,05,08,KIPP UJIMA VILLAGE ACADEMY,BALTIMORE CITY PUBLIC SCHOOLS,BALTIMORE CITY,4701 GREENSPRING AVE,BALTIMORE,MD,21209,9000,4105453669,11,City: Large,Yes,No,Yes,Yes,374,24,15.6,181,193,0,2,369,1,2,273,48,
480025712354,015826001,4800257,015826,09,09,KIPP UNIVERSITY PREP H S,KIPP ASPIRE ACADEMY,BEXAR COUNTY,735 FREDERICKSBURG RD,SAN ANTONIO,TX,78201,,2102690049,11,City: Large,Yes,,Yes,Yes,88,8,11,43,45,0,0,3,85,0,29,5,
130012003031,0605,1300120,761,05,08,KIPP WEST ATLANTA YOUNG SCHOLARS ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,80 JOSEPH E LOWERY BLVD NW,ATLANTA,GA,30314,,4044751941,11,City: Large,Yes,No,Yes,Yes,328,24,13.7,153,174,0,0,327,0,0,206,28,
420081507308,8124,4200815,172510793,05,08,KIPP WEST PHILADELPHIA PREPARATORY CHARTER SCHOOL,KIPP WEST PHILADELPHIA PREPARATORY CHARTER SCHOOL,PHILADELPHIA COUNTY,5900 BALTIMORE AVE,PHILADELPHIA,PA,19143,,2152942973,11,City: Large,Yes,No,No,,91,5,18.2,52,39,0,0,91,0,0,43,15,
390133005487,009997,3901330,009997,05,06,KIPP: JOURNEY ACADEMY,KIPP: JOURNEY ACADEMY,FRANKLIN COUNTY,1400 MYRTLE AVE,COLUMBUS,OH,43211,1445,6142636137,11,City: Large,Yes,,Yes,Yes,130,9,14.4,55,70,1,0,115,0,9,105,7,
370014202922,000,3700142,60L,05,07,KIPP: CHARLOTTE,KIPP: CHARLOTTE,MECKLENBURG COUNTY,931 WILANN DR.,CHARLOTTE,NC,28205,,9802972522,11,City: Large,Yes,No,Yes,Yes,276,20,13.8,176,100,0,0,258,13,5,156,32,
290003103013,3920048918,2900031,048918,05,07,KIPP: ENDEAVOR ACADEMY,KIPP: ENDEAVOR ACADEMY,JACKSON COUNTY,2700 E 18TH ST STE 155B,KANSAS CITY,MO,64127,2695,8162413994,11,City: Large,Yes,No,Yes,No,170,14.5,11.7,60,110,0,0,164,5,1,119,20,
050006201451,5440703,0500062,5440700,09,12,KIPP:DELTA COLLEGE PREP HIGH SCHOOL,KIPP:DELTA COLLEGE PREP SCHOOL,PHILLIPS COUNTY,215 CHERRY STREET,HELENA,AR,72342,,8707539444,33,Town: Remote,Yes,No,Yes,No,152,16.4,9.3,62,90,0,1,145,0,6,94,30,
050006200659,5440702,0500062,5440700,05,08,KIPP:DELTA COLLEGE PREP SCHOOL,KIPP:DELTA COLLEGE PREP SCHOOL,PHILLIPS COUNTY,215 CHERRY,HELENA,AR,72342,,8707539444,33,Town: Remote,Yes,No,Yes,No,275,18.5,14.9,109,164,0,0,267,3,3,186,49,
263183006745,02050,2631830,32630,KG,08,KIPPER SCHOOL,SIGEL TOWNSHIP S/D #6,HURON COUNTY,4499 KIPPER ROAD,HARBOR BEACH,MI,48441,9719,9892697863,42,Rural: Distant,No,No,Yes,No,11,1.34,8.2,5,6,0,0,0,0,11,2,1,
510252000916,0600901,5102520,060,PK,05,KIPPS ELEM.,MONTGOMERY CO PBLC SCHS,MONTGOMERY COUNTY,2801 PRICES FORK RD,BLACKSBURG,VA,24060,3721,5409515760,41,Rural: Fringe,No,No,No,,514,34.98,14.7,252,236,3,62,25,18,380,142,18,
220004500932,398002,2200045,398,PK,08,MCDONOGH #15: A KIPP TRANSFORMATION SCHOOL,RSD-KNOWLEDGE IS POWER PROGRAM (KIPP) N.O.,ORLEANS PARISH,721 ST. PHILLIP STREET,NEW ORLEANS,LA,70116,,5042022004,11,City: Large,Yes,No,Yes,Yes,480,32.1,15,258,222,6,0,450,3,21,417,1,
