names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Frontier Charter School,"400 W. Northern Lights Blvd., Ste. 9","Anchorage, AK 99503",907-742-1180,2003,350,K-12,Open,"Serves full-time home schooling families in the Anchorage School District, serves as a resource for multiple curricula, technology and community.",-149.891034,61.194864
General John Vessey,801 E. Arctic Ave.,"Palmer, AK 99645",907-746-2358,1997,231,K-8,Open,"Learning system that encourages students inherent abilities to be competent, confident, productive and responsible young adults with the habits and skills to succeed.",-149.0944394,61.6067862
Highland Tech High,"5530 E. Northern Lights Blvd., Ste. 1","Anchorage, AK 99504",907-742-1700,2003,450,12-Jul,Open,"Interdisciplinary, real world, project-based learning, with rigorous academic expectations. Prepares students to meet district and state standards.",-149.773886,61.194083
Juneau Community Charter School,430 Fourth St.,"Juneau, AK 99801",907-586-2526,1998,68,K-6,Open,"Developmentally appropriate education techniques, provides diverse perspectives and unique learning opportunities.",-134.4083678,58.3026118
Kaleidoscope School of Arts and Sciences,549 N. Forrest Dr.,"Kenai, AK 99611",907-283-0804,2004,160,K-4,Open,"Features innovative instruction focusing on student achievement, creative problem solving, life-long learning, parent involvement, hands-on science and the arts.",-149.1708452,60.9445001
Ketchikan Charter School,410 Schoenbar Road,"Ketchikan, AK 99901",907-225-8568,1998,171,K-8,Open,"Fosters growth of character, high academic achievement and love of learning. Offers regular assessment and early remediation.",-131.6379729,55.3462956
Midnight Sun Family Learning Center,"7362 W. Parks, #714","Wasilla, AK 99654",907-357-3733,1997,169,K-8,Open,"Family oriented, multi-age learning environment and rigorous academic program for higher education preparation and responsible citizenship.",-149.4685647,61.5814099
Rilke Schule German School of Arts and Sciences,2511 Sentry Drives Suite 100,"Anchorage, AK 99507",,2007,269,K-8,Open,German language immersion program focusing on high academic achievement.,-149.8357487,61.133437
Soldotna Montessori Charter School,162 E. Park Ave.,"Soldotna, AK 99669",907-260-9221,2002,162,K-6,Open,"Nurturing, supportive academic environment with parental involvement and student development of group and individual work skills. Encourages responsibility within the classroom, school and community.",-151.067975,60.49186
Star of the North Secondary School,2945 Monk Court Rd.,"North Pole, AK 99705",907-490-9025,2004,200,12-Jul,Open,Focuses on students in danger of not earning a high school diploma. Works with special needs students.,-147.3494444,64.7511111
Star of the North Secondary School-Fairbanks Campus,"724 27th Ave., Ste. 1","Fairbanks, AK 99701",907-479-4061,2004,100,12-Nov,Open,Help high school drop outs earn their high school diplomas. Must be 17 years old and have at least 14 credits earned,-147.7165249,64.8224993
The Watershed School,4975 Decathlon Ave.,"Fairbanks, AK 99709",907-374-9350,2009,198,K-8,Open,Emphasizes community involvement and the outdoors through place-based education.,-147.868292,64.827055
Tongass School of Arts and Sciences Elementary Charter School,"410 Schoenbar Rd., Ste. 202","Ketchikan, AK 99901",907-225-5720,2003,155,K-6,Open,"Builds on themes related to the arts and sciences; develops respect and appreciation for the diversity of people, cultures, ideas, and perspectives.",-131.6379729,55.3462956
Twindly Bridge Charter School,141 E. Seldon,"Wasilla, AK 99654",907-376-6680,2005,285,K-12,Open,"Home and classroom based program, individualized learning plans and small class sizes.",-149.4490659,61.614519
Winterberry Public School,508 W. Second Ave.,"Anchorage, AK 99501",907-742-4980,2005,169,K-7,Open,"Innovative, standards-based education. Uses Whole Child Curriculum and Waldorf educational philosophy.",-149.8918903,61.2205258
Thunderbird Early College Charter School,7362 W. Parks Hwy # 635,"Wasilla, AK 99654",907-715-0856,2011,,9-May,Approved,STEM school.,-154.4930619,63.588753
Academic and Personal Excellence High School,2859 E. Elvira,"Tucson, AZ 85706",520-298-8781,2003,200,12-Sep,Open,Specialized learning for students desiring a fuller and more challenging education. Small class sizes allow for more effective learning.,-110.929384,32.127782
Academy Adventures Midtown,3025 N. Winstel,"Tucson, AZ 85716",520-777-3757,2010,,K-5,Open,,-110.912495,32.26224
Academy Adventures Primary School,3902 N. Flowing Wells Road,"Tucson, AZ 85705",520-407-1200,1996,100,K-5,Open,"Maintains and nurtures an educational environment where all stakeholders (students, parents and staff) recognize and build on their strengths.",-110.994357,32.277791
Academy Del Sol,4525 E. Broadway Blvd.,"Tucson, AZ 85711",520-325-2800,2009,250,K-7,Open,,-110.8959828,32.2216481
Academy Del Sol-Hope,6740 S. Santa Clara Ave,"Tucson, AZ 85706",520-325-2800,2010,200,K-7,Open,,-110.982733,32.129632
Academy of Building Industries,1547 Lipan Blvd.,"Fort Mohave, AZ 86426",928-788-2601,2004,119,12-Sep,Open,Emphasis on mastering academic skills utilizing the Pima and Maricopa cultures. Native American population.,-114.5889776,34.9824775
Academy of Excellence,425 N. 36th St.,"Phoenix, AZ 85008",602-389-4271,1997,153,K-8,Open,"School of readers, writers, productive thinkers and problem solvers, where students experience success in a positive learning environment.",-112.0041972,33.4531347
Academy of Excellence Central Arizona,1530 South Arizona Blvd,"Coolidge, AZ 85128",520-723-4773,2000,43,K-8,Open,"For at-risk students with academic, vocational and social skills in a safe, drug-free environment utilizing individualized learning plans that foster competent, responsible, adaptive citizens.",-111.524741,32.963867
Academy of Hope,47117 1st St.,"Ash Fork, AZ 86320",928 637-2487,1998,60,K-12,Open,A unique school designed to provide excellent and responsive educational services to the growing community of Ash Fork and surrounding rural areas.,-112.4808426,35.2228269
Academy of Math and Science,1557 W. Prince Rd.,"Tucson, AZ 85705",520-293-2676,2000,278,K-12,Open,Dedicated to teaching the Arizona State Standards in core subjects. Focuses on mathematics and scientific processes and their application to individual and multiple learning styles.,-110.99948,32.271883
Academy of Tucson Elementary School,9209 E. Wrighstown Rd.,"Tucson, AZ 85715",520-886-6076,2000,237,K-5,Open,"Core curriculum, caring staff, prepared students.",-110.796743,32.245325
Academy of Tucson High School,10720 E. 22nd St.,"Tucson, AZ 85748",520-799-0096,1999,168,12-Sep,Open,"Students learn to take responsibility for themselves, practice positive leadership and value educational preparation.",-110.763531,32.205368
Academy of Tucson Middle School,2300 N. Tanque Verde Loop Road,"Tucson, AZ 85749",520-749-1413,1999,156,8-Jun,Open,"School is characterized by a sound college preparatory curriculum, a faculty of educated, respected, encouraging and caring teachers, a safe, supportive environment for learning and a communicative, accountable administration.",-110.7555613,32.2497937
Academy with Community Partners,433 N. Hall,"Mesa, AZ 85203",480-833-0068,1996,170,12-Sep,Open,"Partnerships combining the resources of the community, family and school provide an authentic learning environment in which students become active learners and develop a feeling of success as they work.",-111.793154,33.423838
Accelerated Learning Center - Phoenix,4105 E. Shea Blvd.,"Phoenix, AZ 85028",602-485-0309,1997,200,12-Sep,Open,"Provides an individualized academic program and school-to-work training for students, preparing them to enter the work force or post-secondary education as productive citizens.",-111.992412,33.582053
Accelerated Learning Charter School,320 S. Main St.,"Cottonwood, AZ 86326",928-634-0650,1999,100,PreK-6,Open,Serves academically advanced students. Offers individualized instruction of a core curriculum supported by enrichment and acceleration. Maintains high behavioral standards.,-112.01019,34.733645
Accelerated Learning Laboratory,5245 N. Camino de Oeste,"Tucson, AZ 85745",520-743-2256,1997,215,K-10,Open,"Seeks to provide comprehensive, efficient, accelerated and high quality education to develop students cooperative, social and work skills, critical thinking and problem-solving strategies.",-111.065083,32.302847
ACCLAIM Academy,5350 W. Indian School Rd.,"Phoenix, AZ 85031",623-691-0919,1997,380,K-8,Open,"A learning environment, rich in arts, sciences and language where students develop strong academic skills and character, strive for excellence and become lifelong learners.",-112.1741821,33.4950245
ACE Charter High School-North Campus,1929 N. Stone Ave.,"Tucson, AZ 85705",520-628-8316,1996,170,12-Sep,Open,"Provides a quality education especially to students unable to function successfully in the public school system, using state-of-the-art technology in a business environment. Self-directed curriculum uses computer-assisted instruction.",-110.972248,32.24574
ACE Charter High School-South Campus (Youthworks High School),1915 E. 36th Street,"Tucson, AZ 85713",520-628-8316,2009,56,12-Sep,Open,,-110.942218,32.193165
Acorn Montessori Charter School,8556 E. Loos Dr.,"Prescott Valley, AZ 86314",928-772-5778,2001,150,K-6,Open,"Children learn the virtues, self-discipline and experience they need to succeed.",-112.315939,34.604503
Acorn Montessori Charter School - West,7555 E. Long Look Dr.,"Prescott Valley, AZ 86314",928-775-0238,2006,180,PreK-2,Open,"Children learn the virtues, self-discipline and experience they need to succeed.",-112.332497,34.599914
Adalberto M. Guerrero School,2797 N. Introspect Dr.,"Tucson, AZ 85745",520-807-2836,1999,150,8-Jun,Open,"Committed to the personal, intellectual and social growth of all students through a comprehensive multicultural education program.",-111.024178,32.2561589
Adams Traditional Academy,16635 N. 51st Avenue,"Glendale, AZ 85306",602-938-5517,2009,218,K-8,Open,,-112.166524,33.635926
Adventure Academy,5757 East Pima Street,"Tucson, AZ 85712",520-296-0656,2005,55,K-4,Open,,-110.869091,32.243726
Ahwatukee Foothills Prep,10210 S. 50th Place,"Phoenix, AZ 85044-5209",480-763-5101,2004,300,K-5,Open,"Characterized by a sound college preparatory curriculum, a faculty of educated, respected, encouraging, and caring teachers, a safe, supportive environment for learning and a communicative, accountable administration.",-111.975415,33.354164
Ahwatukee Foothills Prep Early College High School,10210 S. 50th Pl.,"Phoenix, AZ 85044",480-763-5101,2010,100,9,Open,Focus on STEM curriculum.,-111.975415,33.354164
Aim High Institute Charter School,1375 N. McClintock Dr.,"Chandler, AZ 85226",480-763-8272,2009,117,K-12,Open,"International curriculum focusing on teaching methods from around the world, such as Singapore Science and the Chinese- Mandarin and Arabic languages.",-111.909918,33.327005
Akimel OOtham Pee Posh,Hwy 87 Blackwater School Rd.,"Coolidge, AZ 85228",520-215-5859,1999,250,K-5,Open,Recognizes and develops unique languages and cultures through academic and interpersonal experiences. Native American population.,-111.53,32.96
Alhambra College Preparatory High School,3802 West Maryland,"Phoenix, AZ 85019",602-246-0578,2009,130,10-Sep,Open,"Provides students an opportunity to explore and pursue civic, community, cultural, and career aspirations.",-112.1406826,33.5312836
All Aboard Charter School,5827 N. 35th Ave.,"Phoenix, AZ 85017",602-433-0500,2001,92,K-4,Open,"Prepares children to be productive in their environment, have a high quality of education, involve the parents and the community and have a strong emphasis on literacy and reading.",-112.133709,33.523203
AllSport Academy,8570 E. 22nd St.,"Tucson, AZ 85710",520-731-2150,2000,150,9-May,Open,Founded on the principle that sports and education can be successfully combined and integrated into the lives of highly focused young athletes.,-110.809317,32.205929
Alta Vista Charter High School,5040 S. Campbell Ave.,"Tucson, AZ 85706",520-294-4922,2003,456,12-Sep,Open,"Helps all students develop basic skills, understanding and attitudes necessary to become productive citizens.",-110.944564,32.160976
Ambassador Academy,10841 S. 48th Street,"Phoenix, AZ 85044",480-961-2214,2007,23,K-1,Open,Prepare future leaders through the development of academic excellence and strong character and leadership skills.,-111.979745,33.3474239
American Heritage Academy - Camp Verde Campus,675 W. Sunland Dr.,"Camp Verde, AZ 86322",928-567-0462,2006,38,K-3,Open,"Promotes Americas founding principles through a liberal arts education fostering personal greatness, community service and strong academic and leadership skills while reaffirming hope in a caring environment. 2007 will add 4-5.",-111.856083,34.559544
American Heritage Academy - Cottonwood Campus,2030 E. Cherry St.,"Cottonwood, AZ 86326",928-634-2144,1995,300,K-12,Open,"Promotes Americas founding principles through a liberal arts education fostering personal greatness, community service and strong academic and leadership skills while reaffirming hope in a caring environment.",-112.0049814,34.7323507
American Leadership Academy-Gilbert,17019 S. Greenfield Road,"Gilbert, AZ 85295",480-988-3204,1997,280,K-8,Open,"Provides a strong academic foundation focusing on achievement and subject mastery, a recognition and appreciation for Americas freedoms, history and world contributions.",-111.7371,33.293307
American Leadership Academy-Queen Creek,22719 S. Ellsworth Rd. Suite 103,"Queen Creek, AZ 85142",480-987-4500,2010,500,12-Sep,Open,,-111.6348124,33.2397428
AmeriSchools Academy - Camelback,1333 W. Camelback Rd.,"Phoenix, AZ 85013",602-532-0100,1998,189,K-8,Open,Individualized instruction of a basic core curriculum supported by enrichment and acceleration. Teaches cognitive and valuing skills through an integrative curriculum utilizing non-graded and multi-age alternatives for instruction.,-112.090253,33.508952
AmeriSchools Academy - Country Club,1150 N. Country Club Road,"Tucson, AZ 85716",520-620-1100,1997,210,K-8,Open,"Individualized instruction of a basic core curriculum supported by enrichment and acceleration. Teaches cognitive and valuing skills through an integrative curriculum utilizing non-graded, multi-age instruction.",-110.9267638,32.2374015
AmeriSchools Academy - Yuma,2098 S. Third Ave.,"Yuma, AZ 85364-6425",928-329-1100,1998,210,K-8,Open,"Parents, community members and educators create innovative and flexible ways of educating children. Provides an academically rigorous, college preparatory program to help students develop academic, social and creative potential.",-114.6234275,32.6900131
AmeriSchools College Preparatory Academy,7444 E. Broadway Blvd.,"Tucson, AZ 85710",520-722-1200,1997,150,K-12,Open,"Enables parents, community members and educators to create innovative and flexible ways of educating children. Provides an academically rigorous, college preparatory program.",-110.8336419,32.22078
Apache Trail High School,945 W. Apache Trail,"Apache Junction, AZ 85220",480-288-0337,2000,165,12-Sep,Open,"Safe and fair environment in which the school staff, with the support of parents, guides students toward respecting others and understanding the varied cultures of our society, while striving for excellence.",-111.556207,33.414665
Apex Academy Middle School,945 W. Apache Trail,"Apache Junction, AZ 85220",480-288-0337,2003,100,8-Jun,Open,An education that incorporates the principles of interdisciplinary learning in safe environments where excellence is expected and cultivated.,-111.556207,33.414665
Arizona Academy of Leadership - North,40 W. Ft. Lowell,"Tucson, AZ 85706",520-370-9643,2008,86,K-4,Open,Focuses on leadership and community service.,-110.9725513,32.2647636
Arizona Academy of Leadership - South,5660 S. 12th Ave.,"Tucson, AZ 85706",520-807-9668,2007,86,K-5,Open,All day kindergarten. K-8 Spanish program. Focuses on leadership and community service.,-110.978765,32.1495
Arizona Academy of Leadership- Central Campus,225 N. Country Club,"Tucson, AZ 85716",520-881-1487,2007,200,PreK-8,Open,All day kindergarten. K-8 Spanish program.Focuses on leadership and community service.,-110.927251,32.223858
Arizona Academy of Science,1875 North Central Ave.,"Phoenix, AZ 85004",602-253-1199,1999,112,K-8,Open,Instruction for students who wish to enter into serious and rigorous study of science and technology. Students will learn the inter-relatedness of science and technology with society.,-112.0736819,33.4691649
Arizona Agribusiness & Equine Center -Estrella Mountain Campus,"3400 North Dysart Rd, AAEC Administration Building C","Avondale, AZ 85392",623-535-0754,2010,100,12-Sep,Open,,-112.3278161,33.4760461
Arizona Agribusiness and Equine - Paradise Valley Campus,17811 N. 32nd St.,"Phoenix, AZ 85032",602-569-1101,2000,274,12-Sep,Open,Seeks to provide the knowledge and skills needed to get a head start in Agribusiness.,-112.011795,33.648475
Arizona Agribusiness and Equine Center - Mesa Campus,2165 N. Power Rd.,"Mesa, AZ 85215",480-833-8899,1997,382,12-Sep,Open,Seeks to provide the knowledge and skills needed to get a head start in Agribusiness.,-111.682748,33.455279
Arizona Agribusiness and Equine Center - Red Mountain Campus,2165 N. Power Rd.,"Mesa, AZ 85215",602-297-8500,2003,130,12-Sep,Open,"Computer-aided equine science, animal science, veterinarian technology, biotechnology and more.",-111.682748,33.455279
Arizona Agribusiness and Equine Center - South Mountain Campus,2002 East Baseline,"Phoenix, AZ 85042",602-323-9890,,,12-Sep,Open,,-112.038548,33.378094
Arizona Call-A-Teen Center for Excellence,641 N. 6th Ave,"Phoenix, AZ 85003",602-252-6721,1997,150,12-Sep,Open,Targets at-risk students and dropouts. Measures success by assessing skills in use and teaches skills in context that have value beyond classroom walls. Develops academic skills that are transferable.,-112.081079,33.456273
Arizona Charter Academy,16025 N. Dysart Rd.,"Surprise, AZ 85374",623-875-5975,1996,330,K-12,Open,"Prepares students to become good citizens, hard workers and lifelong learners. Prepares students to reach their goals and dreams. Student will experience individualized curriculum.",-112.3418499,33.6292135
Arizona Compass Prep School,"2020 North Arizona Ave, G-62","Chandler, AZ 85225",480-779-2000,2009,25,12-Jul,Open,Visual and performing arts focus.,-111.8418355,33.3372078
Arizona Compass Preparatory School,550 W. Warner Rd.,"Chandler, AZ 85225",480-287-5588,2008,24,10-Jul,Open,"School integrates technology, athletics and the arts to prepare our students for the college and beyond.",-111.849925,33.33558
Arizona Connections Academy,"1017 S. Gilbert Rd., Ste. 210","Mesa, AZ 85204",480-782-5842,2003,247,K-10,Open,Individual learning program with an online focus.,-111.788204,33.3955198
Arizona Conservatory for Arts and Academics,2820 W. Kelton Ln.,"Phoenix, AZ 85053",602-266-4278,2003,370,12-Jun,Open,"Focuses on the arts and provides unique training in areas such as visual arts, French, Spanish, American Sign Language, guitar, piano, science, math and dance. School for deaf located on campus.",-112.119503,33.637238
Arizona School for the Arts,"1313 N. 2nd St., Suite 6","Phoenix, AZ 85004",602-257-1444,1995,370,12-Jun,Open,Provides serious and rigorous study of the fine and performing arts at the conservatory level.,-112.070662,33.46315
Arizona Upgrade Academy,327 S. 15th St.,"Cottonwood, AZ 86326",928-634-3722,2004,34,11-May,Open,Provides a learning environment rich in technology where students achieve academic and social excellence while solving real-life problems in a cooperative manner.,-112.01068,34.733225
Arizona Virtual Academy,"4595 S. Palo Verde Rd., Suite 517","Tucson, AZ 85714",520-623-1483,2001,4600,K-12,Open,"Serves residents of rural Arizona, including dropouts and at-risk youth. PPEP has served low-income families, migrant workers, American Indians and Mexican-Americans for 27 years. This site is a distance learning school.",-110.9175921,32.1688094
Arts Academy at Estrella Mountain,2504 S. 91st Ave.,"Tolleson, AZ 85353",623-474-2120,2005,440,K-8,Open,"Professional learning community that merges fine arts, academics and life skills.",-112.257069,33.423948
Arts Academy at Scottsdale,7214 E. Jenan Dr.,"Scottsdale, AZ 85260",480-951-3190,2009,145,K-4,Open,,-111.925624,33.5935569
Arts Academy at South Mountain,4039 E. Raymond St.,"Phoenix, AZ 85040",602-437-3927,1999,300,K-8,Open,"Teaches the core content areas of education in a nurturing, family-oriented, safe, and drug free environment.",-111.993899,33.412356
Ascending Roots Scholastic and Athletic Premise,7310 N. 27th Ave.,"Phoenix, AZ 85051",602-424-1830,2002,170,K-8,Open,"Discipline, high standards, hard work, team work and character development.",-112.118088,33.544489
Avalon Elementary School at San Marcos,1045 S. San Marcos,"Apache Junction, AZ 85220",480-671-4584,2002,350,K-8,Open,"Features a family-type environment where each child is respected, where education is exciting and where school and parents work together.",-111.5547592,33.4245572
Aztec High School,2330 W. 28th St.,"Yuma, AZ 85364",928-314-1918,1995,91,12-Sep,Open,"Individualized educational and vocational experience for at-risk students, including adjudicated youth and dropouts. Year-round schedule. Incorporated with the Juvenile Court System.",-114.6479482,32.6767873
Aztlan Academy,3376 S. 6th Ave.,"Tucson, AZ 85713",520-573-1500,2000,101,12-Sep,Open,"Focuses on student achievement within a rich learning environment that supports the history, culture and interests of Chicano students.",-110.9684178,32.1855017
Back to Basics Charter School,1529 W. McDowell Rd.,"Phoenix, AZ 85007",623-444-7963,2000,150,K-8,Open,"Offers individualized daily lesson plans. The non-graded, 100% Skill Mastery approach emphasizes the students ability to excel. Focus on reading success.",-112.093071,33.465734
BASIS Oro Valley,11155 N. Oracle Rd.,"Oro Valley, AZ 85737",520-740-6480,2010,400,10-May,Open,,-110.9438464,32.4082354
BASIS Scottsdale,11440 N 136th St,"Scottsdale, AZ 85259-3812",480-451-7500,1999,595,12-May,Open,Basis Scottsdale provides a rigorous liberal arts college preparatory education to middle and high school students. Goal is to provide an academic foundation for lifelong learning.,-111.7877175,33.5903423
BASIS Tucson Middle School,3825 E. Second St.,"Tucson, AZ 85716",520-326-6367,1997,558,12-May,Open,Supportive environment provided by the faculty and administration balance our rigorous and demanding academic program.  Our goal is to have students learn to take responsibility for their own education and to recognize and enjoy the power of knowledge.,-110.910936,32.234824
BASIS Tucson Upper School,3434 E. Broadway Blvd.,"Tucson, AZ 85716",520-326-3444,1997,180,12-Aug,Open,Supportive environment provided by the faculty and administration balance our rigorous and demanding academic program.  Our goal is to have students learn to take responsibility for their own education and to recognize and enjoy the power of knowledge.,-110.919489,32.221134
Beginning Academy,3067 N. Campbell Ave.,"Tucson, AZ 85719",520-325-2310,2005,120,K-5,Open,"Accelerated, back-to-basics curriculum.",-110.9438298,32.2627383
Belle Affeld Beloved Humanities Academy,4225 N. Montezuma Ave.,"Lake Montezuma, AZ 86342",928-567-4475,2003,150,12-Apr,Open,"Strives to reach each person, seeking to magnify that potential. Academic success forms the basis in all school activities.",-111.7780775,34.6305216
Benchmark Elementary School,4120 E. Acoma Dr.,"Phoenix, AZ 85032",602-765-3582,1999,420,K-6,Open,Offers a solid foundation of knowledge through a first class education individually structured to optimize each childs potential.,-111.9933616,33.6191164
Benjamin Franklin Charter School - Gilbert,13732 E. Warner Road,"Gilbert, AZ 85296",480-632-0722,1996,1300,K-6,Open,"Emphasizes phonics-based instruction, strict discipline, high academic standards, mandatory homework and a dress code.",-111.7855248,33.3356
Benjamin Franklin Charter School - Mesa,2345 N. Horne St.,"Mesa, AZ 85203",480-649-0712,1995,250,K-6,Open,"Phonics-based instruction, strict discipline, high academic standards, mandatory homework and a dress code.",-111.813068,33.45822
Benjamin Franklin Charter School - Power,22951 S. Power Rd.,"Queen Creek, AZ 85242",480-677-8400,2006,665,K-8,Open,"Phonics-based instruction, strict discipline, high academic standards, mandatory homework and a dress code.",-111.6857735,33.2403716
Benjamin Franklin Charter School - Queen Creek,21151 S. Crismon Road,"Queen Creek, AZ 85242",480-987-0722,1998,540,K-8,Open,"Phonics-based instruction, strict discipline, high academic standards, mandatory homework and a dress code.",-111.615983,33.259822
Bennett Academy,2930 West Bethany Home Road,"Phoenix, AZ 85017",602-943-1317,1995,140,K-8,Open,"College prep training in academics, behavior and character. Offers instruction in the basic disciplines, with emphasis on language skills, communication and problem solving.",-112.1219158,33.524029
Berean Academy,1169 N. Colombo Avenue,"Sierra Vista, AZ 85635",520-459-4113,2003,300,K-10,Open,"Core curriculum focus in arts and technology. Committed to the physical, mental and emotional well-being of each student.",-110.24731,31.5631607
Blueprint High School,"670 North Arizona Avenue, Ste. 1","Chandler, AZ 85225",480-892-0235,2009,,12-Sep,Open,,-111.842898,33.314533
Bradley Academy of Excellence,200 N. Dysart Rd.,"Avondale, AZ 85323",623-932-9902,2003,140,K-8,Open,"Dedicated to providing an extensive, enriching, competency-based, relevant educational program that allows each student to experience academic success.",-112.341387,33.437211
Bright Beginnings School,400 N. Anderson Blvd.,"Chandler, AZ 85224-8273",480-821-1404,1996,440,K-6,Open,"A warm, accepting and challenging learning environment that improves pupil achievement. Offers core subjects.",-111.874777,33.308599
Bright Ideas Charter School - Dorsey Lane,2720 S. Dorsey Ln.,"Tempe, AZ 85282",480-777-1658,1999,100,K-8,Open,"Guides students in development of their character and academic potential through academically rigorous, content-rich educational programs.",-111.916305,33.400277
Burke Basic School,131 E. Southern Ave.,"Mesa, AZ 85210",480-964-4602,1995,650,K-6,Open,Emphasis on teaching reading while utilizing intensive phonics beginning in kindergarten. Focuses on core academic skills.,-111.8288759,33.3932206
Calli Ollin Academy Charter School,200 N. Stone Ave. 3rd Floor,"Tucson, AZ 85701-1208",520-882-3029,1997,58,12-Sep,Open,"Provides a positive learning environment, develops responsible citizens and inspires lifelong learning. Offers computerized and instructor-taught lessons, tutoring and survival skill courses.",-110.971313,32.224527
Cambridge Academy East,9412 E. Brown Road,"Mesa, AZ 85207",480-641-2828,1998,200,K-6,Open,"Provides a quality, standards-based education while creating a parent-community partnership.",-111.627706,33.437473
Cambridge Academy East,9412 E. Brown Road,"Mesa, AZ 85207",480-641-2828,2009,286,K-6,Open,"Provides a quality, standards-based education while creating a parent-community partnership.",-111.627706,33.437473
Camelback Academy,7634 W. Camelback Rd.,"Glendale, AZ 85303",623-247-2204,2002,375,K-6,Open,"Guides students in the development of their character and academic potential through a small, family-oriented environment with an emphasis on high moral values and strong, back-to-basics academic standards.",-112.2241,33.50947
Candeo Schools - Peoria,9965 W Calle Lejos,"Peoria, AZ 85383",623-979-6500,2008,242,K-6,Open,Classical education model utilizing the Core Knowledge curriculum.,-112.27346,33.702998
Canyon Pointe Academy,4941 West Union Hills Drive,"Glendale, AZ 85308",602-896-1166,2002,310,K-6,Open,,-112.166971,33.653594
Canyon Rose Academy,3686 W Orange Grove Rd,"Tucson, AZ 85711",520-514-5112,2003,453,12-Sep,Open,"Develops the highest levels of student achievement within an integrated, gifted/honors program of academic study primarily focusing upon technology as co-inquiry cultivating students full academic, social and creative potential.",-111.043565,32.324492
Carden of Tucson,5260 N. Royal Palm Dr.,"Tucson, AZ 85705",520-293-6661,1997,136,K-8,Open,"Offers value-based education and an exceptional academic, physical and social program. Focuses on developing leadership skills.",-111.023611,32.30313
Carden Traditional School at Tucson,5260 N. Royal Palm Dr.,"Tucson, AZ 85705-1148",520-293-6661,2008,131,K-8,Open,,-111.023611,32.30313
